"","text"
"473","rt     kim jonguns  lost cousin    displaying  hallmarks   mideast dictator     xenophobic crap"
"474","  president means        reason  deny  appeal  suspend  ban thank  doj   "
"475","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"476","rt    super bowl interview   putin  pass    murderer enjoy  game  "
"477"," wall amp  deportations  illegalsmost sensible executive action  half century  via   doubt"
"478","christichat rt christichat goodbye nordie nordstrom drops ivanka  clothing  accessories line maga  "
"479","rt  kristen speaking    snl   fucking legend "
"480","rt      moral par  putins russia   history   president slandered  country    "
"481","rt  kristen mocked       gay  snl monologue    fave "
"482","rt   wont   conservatives defend  russia comment theyll  silent  theyll  theyd race  fox  condemn  dem"
"483","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"484","rt   senator   hellbent  getting   truth  trumprussia       dworkinreport "
"485","rt  experts social media giants fight  antiterror plan  providing platform  terrorists "
"486","rt  oreilly putins  killer       lot  killers weve   lot  killers    thinkou "
"487","rt  true  irrelevant     irrevocable  trust  meaningless    companies    "
"488","rt  throwback    shrugged  putin killing journalists "
"489","dhs suspends    actions   travel ban  maga bluelivesmatter wakeupamerica bwcentral "
"490"," executive   embraces timehonored power move   "
"491","rt  thousands march near  maralago estate  fla "
"492","rt   tweets   malevolent  excruciatingly dumb  comes  sounding lie  pro wrestling bad guy  "
"493","rt    nervously confident   break   constitution "
"494","     hater "
"495"," obama leak info  alqaeda   raid  killed navy seal evidence suggests   via "
"496","  former pres clintonformer pres obama amp  youpres trumphave agreed    amp  agreed   solution "
"497","rt  appeals court blocks  request  block  block   ban  "
"498","budweiser takes super bowl cheap shot  prez   boycottbudweiser  "
"499","rt  canadian scientists  followed threatened  censored  warn       "
"500","maxine waters   desire   lead    impeachment  breitbart "
"501","rt  shoutout     fans       youre vs      suddenly constitutional law scholars"
"502","rt  heres     skeptical   commitment  lgbtq rights  fashion fashio "
"503","rt    putin   killer      countrys  innocent  "
"504","rt  freaking awesome thanks snl snl goes     melissa mccarthy  sean spicer "
"505","christichat rt christichat  vote   cast    watch  potus   week    presidency  "
"506","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"507"," republicans  happy  trumphe  kept  campaign promises"
"508","dhs suspends    actions   travel ban   latinos socialmedia  bwcentral "
"509","rt   week vladimir putin murdered  journalist  poisoning     shrugs     country "
"510","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"511","rt    help tremendously  keeping   check   media  start reporting    true "
"512","experts social media giants fight  antiterror plan  providing platform  terrorists  via "
"513","rt  watch        unconstitutional muslimban  ninety  judge robart deals "
"514","rt  thingsyouthoughtwerereal promises promises      leave     won "
"515","bladdermouth    begun  disgrace ussundaymorning politicsnation satire    "
"516","rt  hey  theres  plenty  time    ruin super bowl sunday  tweets"
"517","rt  grand president  removes debris  lot  dust visible path  prosperity rich america "
"518"," clip  oreillys interview  praises putin  shtting  america "
"519","rt    serious    strong joint position europe     puppet   hands    "
"520","  start  "
"521","rt  kuwait denies  imposed travel ban praised    "
"522","biggest test       administration      map "
"523","rt           sick  winning   lost  popular vote   lost   court tw "
"524","rt  fuck  fuck pence  countrys built  immigrants   "
"525","rt  court denies justice departments request  immediately reinstate  travel ban "
"526","rt   majority saying  visit   cancelled    larger  brexit  referendum democracy"
"527"," bet  money   kanye     presidenttrump obama"
"528","rt   quote  late  karencarpenter weve   begun resisttrump "
"529","rt  horrific       fealty  russia  putin   dworkinreport trumpleaks "
"530","patriots fans react  ties  team   billionaire owner     "
"531","rt  shoutout     fans       youre vs      suddenly constitutional law scholars"
"532","rt  kuwait denies  imposed travel ban praised    "
"533","  failing  presidency    uniter   wall   repeal  replace   radical islamic terrorist ban"
"534","rt   staggering hysterical overreaction  lord carey former archbishop  canterbury  antitrump protests  "
"535","rt  disgusting     wont   praise putin comparing     dictator     murders "
"536","rt  supporters  president  rally  portland "
"537","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"538","rt   republicans wont rein     judiciary   "
"539","rt  dude  stephen king  anthony weiner  bright  troubled     trash   "
"540","rt      steve bannon   white house  entire corporate ecosystem   threat "
"541","rt   oreilly interview    straw    biggest piece  shit  world     circus clown     soon"
"542","cnn      anderson cooper cry      "
"543","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"544","   federal district judge halted  admins unconstitutional eo muslimban  appealed amp  lost  "
"545","rt    hate tom brady   patriots     connection       loving amp  tolerant liberals"
"546","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"547","rt   hates mexico  china hatred  based   amp   immune  evidence simply  fixed truth  ame "
"548","rt  asst attorney  tweets fck   "
"549","constitutional crisis  happens   decides  ignore  judges ruling  "
"550","rt  stay denied th circuit rejects  administration request  immediate stay  restraining   travel ban "
"551","rt   defends putin    countrys  innocent "
"552","rt  iraqi parents   happy   son   american medical care   named  son   trum "
"553","rt  fuck  fuck pence  countrys built  immigrants    "
"554"," request  reinstate muslimban denied   appeals court   "
"555","      speechwriter   world    crayola"
"556","rt   ag firing recalls nixons saturday night massacre     sundaymorning   et   "
"557","   stoppresidentbannon   rest  naziwh   vacation busy little nazis spreading fear  hate impeachtrump "
"558","oreilly told   putin   killer  reply    country   innocent  presidentbannon"
"559","rt  false equivalency alert  assimilation    previous administrations  utter garbage dont believe   "
"560","rt    understands  attacking  media   reddest  meat   base  "
"561","rt  angry tweets incoming  bbc news   bid  reinstate travel ban fails "
"562","rt    administration silence  thisgoing    month   tacit approval     "
"563","rt   request  restore travel ban rejected   appeals court  "
"564","rt  turnbull government  scrutiny  centrelink pensions trade     parliament resumes  news"
"565","   anti   demonstration  nigeria recently    smoothly  couldnt     "
"566","rt   ban   hold  bigger story    real test    institutions  restrain trum "
"567","rt  thx   spread  word ucufefvote     ucufef       presidenttrum "
"568","rt  notice    word attack   stands    taxpayer "
"569","rt  michael moore trolls   tweet attacking judge thank  socalled president  "
"570","rt  replacing ruth bader ginsberg   constitutionlist amp  conservative justice      biggest accompl "
"571","rt   dont      chance    truthful amp  factual       chances   fai "
"572","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"573","rt    hate       labels  lying abt  im   ive  heard    real reason"
